País;Año;V1;V2;V3;V4;V5
Jamaica;2008;4418,418005;6988,279996;-7098,036462;6154,083954;363,9777839
Mexico;1993;3708,82854;7181,951837;-7260,275888;5944,230105;412,2840982
Mexico;1994;3797,040323;7295,910436;-7372,478709;6059,890816;416,91097
Mexico;1995;3654,301338;6982,818288;-7073,310366;5765,851678;406,1718407
Mexico;1996;3722,652509;7052,99277;-7174,346973;5832,001109;396,7326667
Mexico;1997;3784,563421;7125,30847;-7253,519214;5896,767229;398,4130164
Mexico;1998;3847,579119;7303,466896;-7391,716997;6070,917236;421,4964534
Mexico;1999;3988,706717;7490,585371;-7587,642163;6255,556859;418,6525516
Mexico;2000;4191,299632;7844,976287;-7888,03263;6627,065903;448,6872835
Mexico;2001;4209,103582;7838,472108;-7880,218603;6629,23584;444,762106
Mexico;2002;4172,971119;7712,067399;-7785,90673;6493,370461;432,8302563
Mexico;2003;4192,121474;7763,001146;-7834,51681;6537,439998;436,6242834
Mexico;2004;4245,600997;7821,833215;-7881,309159;6606,981167;437,1731035
Mexico;2005;4407,095547;8034,278585;-8108,980148;6802,605062;439,0240761
Mexico;2006;4483,652527;8149,67742;-8210,241677;6926,433649;446,3900097
Mexico;2007;4591,635733;8310,005204;-8332,304464;7110,704815;456,8674914
Mexico;2008;4683,762267;8238,942717;-8332,097832;7080,165529;438,5862189
Nicaragua;1993;2456,138635;5074,926625;-4760,017291;4195,386177;371,1174743
Nicaragua;1994;3211,659631;6876,787461;-6472,079901;5790,657246;496,4641619
Nicaragua;1995;3380,151447;7269,521838;-6836,976735;6137,958275;521,8856099
Nicaragua;1996;3449,292942;7355,809991;-6862,063051;6292,136357;534,6858625
Nicaragua;1997;3436,186426;7332,319317;-6792,850681;6296,199684;537,6062344
Nicaragua;1998;3614,113496;7744,805822;-7210,278753;6623,913323;557,182724
Nicaragua;1999;3448,406981;7313,017461;-6786,798623;6259,010528;527,9654994
Nicaragua;2000;3474,385942;7357,937434;-6800,152944;6337,261279;534,7183995
Nicaragua;2001;3371,763589;7136,970695;-6642,434517;6088,594317;516,68367
Nicaragua;2002;3075,911048;6407,168917;-5977,99147;5439,754325;466,0156376
Nicaragua;2003;3195,459475;6656,189174;-6213,282328;5661,516372;490,7276202
Nicaragua;2004;3531,790746;7402,655861;-6888,459079;6341,394123;556,0065749
Nicaragua;2005;3378,811788;6940,679852;-6408,909008;6005,170368;522,1891166
Nicaragua;2006;3615,069856;7456,310314;-6908,809285;6443,563194;557,2778617
Nicaragua;2007;3358,736719;6774,503811;-6253,619765;5874,449623;507,8607649
Nicaragua;2008;3602,896174;7305,58636;-6676,52737;6380,229161;553,1462126
Panama;1993;3599,88594;6993,054028;-6296,430018;6267,513334;507,7612891
Panama;1994;3899,445878;7661,165533;-6914,222875;6854,376306;557,8135728
Panama;1995;4029,535203;7921,75592;-7126,707026;7109,697845;577,0186095
Panama;1996;3837,534166;7143,957271;-6121,988654;6803,156951;540,0668078
Panama;1997;4118,758664;7843,979984;-6749,803566;7366,043394;603,8659044
Panama;1998;3706,881761;6917,756823;-5980,283397;6445,912756;524,9154566
Panama;1999;3881,414122;7224,821968;-6282,795017;6747,1063;539,4439837
Panama;2000;4039,666297;7458,799071;-6378,190977;7108,208007;576,7946119
Panama;2001;3999,814648;7468,091458;-6537,862356;6943,834413;553,9180115
Panama;2002;3592,170549;6517,536544;-5747,646476;6020,139146;470,3353648
Panama;2003;4064,286586;7451,102555;-6450,217484;7019,315185;545,607658
Panama;2004;4160,116341;7998,355641;-7602,111026;6806,006172;510,7156683
Panama;2005;4424,355243;8108,096833;-7082,877332;7596,786158;585,3351459
Panama;2006;4519,135862;8136,811168;-6932,649684;7820,626403;602,6474325
Panama;2007;4720,421786;8493,414104;-7334,719313;8066,401752;618,2856296
Panama;2008;4856,69361;8585,570758;-7376,886867;8254,117822;618,2148931
Paraguay;1993;3125,205318;6130,134672;-5504,36403;5609,360945;441,1714641
Paraguay;1994;3196,587009;6282,253885;-5695,823429;5685,678453;442,2394084
Paraguay;1995;3148,018396;6080,301103;-5495,129622;5547,795644;425,1502606
Paraguay;1996;3073,62292;5891,664422;-5315,36539;5398,158066;417,4470628
Paraguay;1997;3141,703066;5939,669096;-5307,468848;5526,720392;425,6990546
Paraguay;1998;3258,275807;6180,94069;-5503,471669;5775,934304;451,2411437
Paraguay;1999;2986,004427;5402,36713;-4682,305453;5242,000455;402,6189709
Paraguay;2000;3019,611613;5470,425055;-4791,810992;5259,012731;399,6930598
